Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
36633,2.90,GUJARAT,Gandhinagar,23.227484753543,72.663198709487,0,0.00,05-06-2017,---,---,TROM SOLAR
36627,4.10,WEST BENGAL,Barddhaman,23.487572844234,87.323627471923,0,0.00,18-04-2017,---,---,Mineworth Engineering Products Pvt Ltd
36624,70.00,KARNATAKA,Bangalore,13.10197,77.586359099999,0,0.00,14-03-2017,---,---,Orb Energy Pvt Ltd
36620,1.24,GUJARAT,Vadodara,22.291748,73.167086,85560,0.00,21-06-2017,---,---,Abhishek Enterprises
36617,6.00,GUJARAT,Mahesana,23.775409329483,72.615077944064,0,0.00,13-02-2017,---,---,TROM SOLAR
36616,40.00,KERALA,Kozhikode,11.1983509,75.857247000000,3069485,883839.00,07-01-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36609,5.00,KARNATAKA,Udupi,13.1162973,74.783444499999,0,0.00,30-03-2017,---,---,Orb Energy Pvt Ltd
36602,50.00,RAJASTHAN,Alwar,27.6343,76.6499,0,0.00,23-06-2017,---,---,TAFE MOTORS AND TRACTORS LIMITED
36598,18.90,MAHARASHTRA,Pune,18.532741,73.876829000000,0,0.00,25-03-2017,---,---,KWH RENEWABLES PRIVATE LIMITED
36597,4.00,WEST BENGAL,Barddhaman,23.513193492094,87.343454360961,0,0.00,18-04-2017,---,---,Mineworth Engineering Products Pvt Ltd
36593,100.00,HARYANA,Gurgaon,28.369905404030,76.889681853353,5800000,0.00,20-06-2017,---,---,Aton Rural Development Pvt Ltd.
36590,35.00,MAHARASHTRA,Pune,18.646981856841,73.770070418718,2100000,0.00,01-06-2017,---,---,MAYUR RENERGY SOLUTIONS PRIVATE LIMITED
36589,20.00,KARNATAKA,Gadag,15.4293077,75.635356399999,0,0.00,15-03-2017,---,---,Orb Energy Pvt Ltd
36588,5.00,KERALA,Thrissur,10.301590,76.1606,440315,120000.00,04-03-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36587,10.00,KARNATAKA,Bangalore,12.9829148,77.6450036,0,0.00,03-03-2016,---,---,IC INDIA PVT LTD
36586,10.00,TAMIL NADU,Chennai,13.129578097626,80.213853120803,600000,0.00,01-06-2017,---,---,Vigor Solar Energy Pvt Ltd
36580,3.00,UTTAR PRADESH,Agra,27.227686721612,78.010894758626,0,0.00,10-06-2016,---,---,GURUKRIPA ELECTROPOWER PVT.LTD
36579,5.67,NCT OF DELHI,West,28.655682,77.117921000000,0,0.00,15-03-2017,---,---,Green Affiliates Private Limited
36577,1.00,MAHARASHTRA,Pune,18.455905770545,73.842446297494,0,0.00,06-10-2016,---,---,POWER HYBRID SYSTEM PVT LTD
36575,6.00,HARYANA,Ambala,30.370209760627,76.782618127763,0,0.00,09-05-2016,---,---,KRPC Enterprises Pvt. Ltd.
36570,2.50,JHARKHAND,Ranchi,23.371422675326,85.320153543725,0,0.00,15-06-2017,---,---,4E Junction
36569,32.00,GUJARAT,Valsad,20.297822,72.846254999999,0,0.00,26-03-2017,---,---,KWH RENEWABLES PRIVATE LIMITED
36568,50.70,HARYANA,Sonipat,28.882319702249,77.126731798052,0,0.00,15-02-2017,---,---,KRPC Enterprises Pvt. Ltd.
36566,50.00,ORISSA,Cuttack,20.369310685527,85.889481911435,0,0.00,08-05-2017,---,---,Crux Power Private Limited
36564,50.70,HARYANA,Sonipat,28.882343188033,77.126694247126,0,0.00,15-02-2017,---,---,KRPC Enterprises Pvt. Ltd.
36561,2.00,MAHARASHTRA,Pune,18.509150388115,73.832671050913,0,0.00,01-09-2016,---,---,SURYATECH SOLAR SYSTEMS
36558,3.00,HARYANA,Jind,29.4710446,76.176966600000,0,0.00,02-05-2017,---,---,SOLARIN SOLAR POWER SOLUTIONS PRIVATE LIMITED
36557,43.60,NCT OF DELHI,North West,28.692852517465,77.141815703362,0,0.00,13-01-2017,---,---,KRPC Enterprises Pvt. Ltd.
36551,400.00,TAMIL NADU,Kancheepuram,12.733924629209,80.012835301458,0,0.00,25-03-2017,---,---,Prozeal Infra Engineering Private Limited
36550,500.00,GUJARAT,Surat,21.1052217,72.851253400000,0,0.00,19-01-2017,---,---,Shashwat Cleantech Pvt Ltd
